" ","Values0","Values1","Values2","Values3","Values4","Values5","Values6","Values7","Values8","Values9","Values10","Values11","Values12","Values13","Values14","Values15","Values16","Values17","Values18","Values19","Values20","Values21","Values22","Values23","Values24","ClassName"
Misk-18.gif,58317.2,5712.92,7990.07,10344.1,10408.9,5741.75,7118.98,9354.92,12005.9,6651.35,9652.35,2181.28,1647.63,1757.08,2396.85,472.12,1250.73,1373.22,1095.94,2025.92,605.813,5046.24,1152.29,2805.53,783.217,"Misk"
Heart-16.gif,75154.2,10978.8,12331.6,35870.6,1470.62,361.523,16693.8,2766.98,5022.53,9999.91,4765.34,3525.88,5408.95,4847.38,5600.86,1462.78,165.061,764.541,3541.39,1890.18,250.419,361.844,858.161,1637.73,555.361,"Heart"
chicken-19.gif,25232.2,806.103,5964.51,3148.26,4292.87,4046.13,5665.32,7961.97,4541.22,2735.16,587.816,229.215,2291.09,129.307,297.192,386.154,253.054,396.101,370.269,1624.19,776.297,578.291,255.166,900.401,1101.65,"chicken"
teddy-12.gif,60474.6,4783.91,16436,1329.5,155.779,4235.54,664.439,6223.19,2225.56,3103.15,1438.45,1368.27,532.175,2152.42,19.8335,1356.21,626.966,119.375,246.879,890.225,337.088,35.454,492.404,57.1723,425.861,"teddy"
spoon-20.gif,57385.3,17406.6,2129.19,1219.38,6879.17,541.523,10946.8,2208.84,6041,1642.9,1992.2,1508.82,1581.37,2132.29,1575.83,1323.92,1445.68,1467.11,1911.33,810.9,1187.02,1577.95,1044.6,1375.85,57.0753,"spoon"
car-18.gif,87997.3,16211.5,6767.11,5586.71,5198.34,94.1851,9262.67,3702.12,2228.89,224.826,1098.76,1297.34,6.64923,394.413,200.752,1098.92,128.965,18.8342,445.697,1634.1,228.516,480.238,203.701,496.453,299.356,"car"
horseshoe-11.gif,6417.27,676.635,197.967,230.41,895.301,394.081,550.732,389.429,334.399,270.182,251.202,169.598,256.57,289.107,245.424,123.468,169.893,421.587,161.366,271.753,656.675,51.3382,200.332,99.003,17.6009,"horseshoe"
hat-19.gif,25459.2,6075,7908.34,5008.63,6202.31,13037.8,1401.43,2947.73,1107.69,4957.63,2313.49,492.476,2654.67,1274.47,2824.93,420.849,308.048,1286.96,1317.42,101.042,872.418,1748.42,4.59174,67.9389,920.094,"hat"
elephant-11.gif,55905.2,16596.2,4150.59,226.401,6790.19,20748.4,10522.2,5484.43,2037.02,2279.36,5649.41,2166.09,1961.04,1599.01,7208.43,121.248,1735.13,160.696,267.119,1273.55,1097.86,874.146,1142.12,1065.59,310.861,"elephant"
butterfly-12.gif,70311.2,18836.9,10568.1,23935.7,12325,3982.46,2960.82,6477.75,5699.55,1670.53,3974.99,3704.63,468.833,1461.84,6597.79,3792.42,461.713,358.035,1268.87,5022.85,1430.4,1014.86,2492.66,2753.16,1318.42,"butterfly"
teddy-14.gif,59877.6,4908.8,16302.2,970.143,43.525,4369.4,954.475,5575.82,2487.14,3271.97,2236.1,1245.13,95.8242,2067.56,254.138,2271.54,175.33,336.854,99.8015,1075.45,861.135,608.516,647.154,407.921,295.45,"teddy"
horseshoe-17.gif,3862.21,679.183,571.122,546.579,623.001,297.678,1119.9,401.943,185.203,120.676,170.093,285.207,428.08,221.756,190.332,23.2284,185.959,43.8526,624.143,116.92,109.97,44.7225,185.171,13.5097,278.296,"horseshoe"
Misk-15.gif,54536.2,142.324,1761.87,10877.9,11422.5,20604.2,3986.98,4969.97,584.454,2432.74,8664.19,1009.03,3562.66,597.622,897.309,3114.77,2843.59,522.773,4038.59,2943.85,1700.29,3433.37,2676.24,1021.05,249.145,"Misk"
stef-12.gif,82412.5,31187.5,18831.7,11432.8,7782.44,92.3395,1339.5,803.728,1140.22,1067.81,351.451,56.5155,621.74,557.667,418.222,79.1852,158.142,342.347,316.439,34.6914,24.669,78.1113,148.657,165.725,46.2136,"stef"
device9-14.gif,195874,30470.8,1007.91,12950,27614.3,2485.93,11982.6,14983.9,13149.2,25474.7,2117.56,7518.57,5895.61,263.436,3093.11,2743.02,2267.2,2609.24,1695.02,3051.71,2796.71,588.325,2484.77,336.983,2566.35,"device9"
classic-15.gif,195624,131561,2725.3,74287.7,57711.4,44737.5,35244.1,15565.8,3845.12,815.717,5511.77,7883.48,8900.45,8399.51,3075.47,29827.9,30858.5,17523.6,169.527,11603.2,7862.69,11494.5,8281.59,774.3,4074.02,"classic"
ray-15.gif,72699.2,6202.24,8247.08,11135.7,7672.6,13397.9,20098,18382.5,1331.78,3485.49,529.646,2291.38,5729.33,1699.25,134.609,3195.96,3794.78,553.409,104.972,165.604,4956.72,102.517,2493.79,981.718,1455.56,"ray"
key-19.gif,75650.3,32348.4,11908.9,5580.06,4215.35,20718.9,12054.9,925.575,10471.3,8228.42,1579.9,588.782,3349.08,3328.04,2549.99,1475.48,2709,75.2777,150.223,764.717,919.988,1189.17,310.592,561.734,693.772,"key"
apple-12.gif,31746.3,7650.79,1268.61,631.987,9906.61,14805.5,4476.56,1640.26,587.756,6403.77,583.622,575.02,2786.33,1364.29,1276.29,1532.83,2426.92,1532.87,1624.06,679.067,707.622,33.1813,395.662,727.386,421.065,"apple"
crown-20.gif,6080.15,2454.26,1925.26,1254.29,725.254,2296.11,1411.15,66.0174,809.606,349.24,252.591,269.568,403.175,281.115,366.606,264.803,270.907,146.64,26.9605,231.243,175.692,208.576,12.6267,138.713,48.2793,"crown"
bat-19.gif,157445,46864.8,25604.5,21889,7692.23,27231.4,5725.02,41210.8,27494.6,8532.61,3323.63,7771.56,9833.11,9122.36,15314.9,11961.5,2425.65,804.051,6499.25,1667.3,3344.22,8884.44,4236.59,1464.19,934.756,"bat"
device9-15.gif,197330,29327.1,2151.92,13076.2,28136.3,2827.76,12590.9,14744.7,11123.2,24882.9,1418.23,7582.81,5278.98,10.517,3499.81,2614.18,2684.38,2211.39,2607.41,3442.66,2603.62,671.972,2021.49,226.907,2044.37,"device9"
ray-13.gif,103849,7213.22,11847.9,12938.9,5939.21,10683,33764.4,33255.4,7029.57,1680.85,5095.33,1904.08,682.856,4486.64,3483.16,8586.05,489.605,408.193,3221.12,2231.78,3033.83,3549.73,526.96,305.773,1072.84,"ray"
crown-13.gif,5413.18,3203.4,260.116,988.821,278.546,1948.05,1255.05,91.366,594.434,492.751,61.263,309.621,424.096,222.823,39.3969,174.712,148.59,145.685,185.904,194.636,21.3027,165.799,59.2097,115.038,5.92545,"crown"
bell-19.gif,2496.16,923.961,108.805,240.486,312.917,852.893,517.757,230.599,650.473,354.19,145.605,97.6694,74.971,38.6356,342.145,168.447,184.061,27.292,67.8214,62.1779,146.002,31.2727,44.3584,79.5886,107.176,"bell"
classic-18.gif,99365.4,30570.4,11897.4,4101.68,11248.8,9268.69,29369.8,1956.86,14489.1,3589.79,1690.76,4198.92,3062.1,571.262,1923.91,1744.85,1435.25,61.638,311.804,2175.31,251.356,1720.47,439.201,884.919,507.149,"classic"
brick-11.gif,85124,972.65,20370.2,1369.99,4451.98,1771.83,2185.65,3435.63,3496.19,1049.32,2573.62,1396.8,163.736,1271.56,921.617,475.728,1.35232,407.193,125.804,456.642,60.0678,247.88,40.9381,159.474,521.249,"brick"
device8-12.gif,249397,27200.3,7263.41,28145,35712.1,57346.8,7722.82,9266.06,11391,11679.3,13204.2,2167.14,1198.93,10941,10938,9419.01,7311.93,1335.59,5053.18,3106.48,788.459,4668.56,640.689,3475.09,2469.4,"device8"
pocket-14.gif,21427.1,4594.5,5649.23,3522.28,7640.6,8707.17,3602.92,3036.56,2418.59,1508.02,1825.02,83.2825,391.422,1387.33,1393.52,1455.53,1096.14,6.11082,691.811,1406.36,759.961,887.307,3298.85,467.875,2120.05,"pocket"
teddy-17.gif,59663.6,4727.26,15959.5,1124.41,193.297,4747.61,987.632,6409.52,2357.96,3147.03,2124.9,1686.03,80.3296,1930.52,369.102,1875.61,80.0885,31.7594,118.003,963.649,1016.06,457.613,365.801,123.238,523.825,"teddy"
apple-11.gif,32299.3,7866.71,2703.02,995.875,9402.59,16761,3282.31,870.22,708.756,7024.27,1765.83,1287.78,1609.95,3142.29,2213.76,368.319,3062.2,393.894,354.793,1384.36,551.373,1553.23,1669.24,23.4819,1179.17,"apple"
brick-17.gif,84654,2388.82,21608,2814.83,4148.06,2568.03,4723.18,6052.56,3008.54,239.382,3685.22,934.693,454.079,1124.11,1190.6,341.309,1356.7,721.042,163.127,505.618,570.232,585.195,286.957,285.255,510.503,"brick"
device1-18.gif,190529,2086.9,648.941,801.871,37700.8,57836.2,924.567,34.1763,1511.65,13973.6,13006.9,649.707,3.3189,2169.53,7830.24,8401.1,428.681,27.363,1190.94,4358.44,5197.09,701.82,51.9581,1368.42,3632.33,"device1"
horse-16.gif,580642,58467.5,10363.5,64646.7,90567.1,78737.6,58172.5,9970.69,19959.5,20271.4,15164.8,26270.2,5101.2,5753.87,4833.04,8884.33,5992.69,7952.99,956.979,3629.26,240.839,1099.73,5632.28,1348.16,5186.56,"horse"
face-13.gif,28685.2,3070.75,6230.54,214.995,1857.46,12630.9,2370.71,90.1569,5238.16,2092.1,4562.98,1545.25,267.318,5058.64,4309.49,3000.21,34.8644,506.936,2452.7,1452.98,1872.68,636.446,324.445,2125.63,1017.83,"face"
device0-20.gif,172347,11859.9,287.144,4244.42,22651.4,41530.6,24524.9,3192.7,16170.5,3624.9,141.791,11341.9,802.939,665.912,3828.33,538.691,2740.34,1127.46,3797.72,3016.78,3050.94,18.5798,1597.17,199.523,1125.42,"device0"
pencil-12.gif,84295.3,52030.3,9120.81,37111.9,17151.1,6168.43,12590,9691.75,758.68,4302.97,6084.71,2739.66,793.824,1745.13,803.854,342.126,464.056,1034.7,1905.42,459.792,2253.54,1548.71,881.911,827.221,1023.44,"pencil"
frog-19.gif,17178.2,5685.48,2584.57,822.426,3319.56,8055.67,3538.27,4205.93,2433.43,1647.83,831.15,1281.06,1082.8,148.743,1285.63,93.0342,138.417,639.943,370.047,125.024,539.867,354.727,103.769,363.382,495.913,"frog"
deer-19.gif,621769,9300.81,36456.5,26478.1,114575,138321,5004.08,9356.23,29505.1,69935.7,25130,19268,1538.04,1928.21,7190.06,8000.64,3205.54,1546.06,11635.5,1694.7,9155.24,1122.69,3118.71,685.459,2996.18,"deer"
device5-19.gif,252800,49202.5,1498.74,19064.9,17035.2,11448.5,158.994,1728.63,9677.69,16565.9,6800.33,5459.66,4934.07,4844.98,3943.8,2861.54,7422.01,432.406,1037.12,462.385,2862.49,78.4156,168.397,1432.3,1963.37,"device5"
lizzard-19.gif,333736,466.091,46703.6,9027.23,26117.6,47066.3,62548.8,19376.1,20294.1,19480.5,4925.13,1348.63,2283.3,1093.84,8566.27,3531.7,16678.3,4408.06,1678.28,6778.92,6436.99,11772,1705.45,865.444,3964.6,"lizzard"
device8-15.gif,227371,27722.4,14207.2,31571.8,37257.3,63759.2,12177,13627.7,10111.6,10230.2,10857.7,3438.63,2303.26,13335,9478.14,5920.2,9132.56,4546.06,4890.56,3053.8,124.122,3025.03,1859.31,1215.19,1509.48,"device8"
brick-19.gif,84562,1522.91,21893.9,3083.56,4589.35,2708.61,3259.09,4988.27,3486.48,765.485,3302.07,1242.1,723.69,1179.69,1204.37,366.468,1181.95,788.545,254.469,924.65,630.582,434.309,460.066,39.0742,802.783,"brick"
lizzard-16.gif,79531.5,4670.28,6665.03,930.422,8114.7,9503.45,3838.15,6304.7,1661.28,9609.82,3184.67,2443,3094.16,3195.49,1826.17,1361.35,377.457,694.876,488.064,382.892,346.839,673.714,1153.51,38.945,1053.33,"lizzard"
personal_car-17.gif,73944.2,31626.9,20598.4,16141.6,4077.69,23336.3,26611.1,14348.4,2859.17,6377.67,3218.21,8587.69,5597,281.604,3745.99,990.273,2246.99,1634.97,588.207,79.3208,1228.6,871.461,444.841,809.301,1295.5,"personal_car"
device0-17.gif,142350,813.614,11.3376,934.086,40557.3,59520.9,1286.13,44.6009,1114.29,16584.7,11970.1,1934.07,241.099,2617.41,2084.53,6317.06,12.3234,43.8377,1622.42,3137.27,5464.49,1537.31,289.649,1395.19,316.343,"device0"
device3-18.gif,189846,6535.47,1858.36,131.063,27139.4,91779.8,8007.99,2984.22,14307.6,2935.66,16531.8,4873.29,1060.15,2486.58,3968.03,4493.79,2969.03,867.051,1445.83,511.668,2557.11,7167.92,1636.35,813.36,4754.55,"device3"
pencil-18.gif,75031.5,8832.53,13939.2,293.002,4735.36,4996.17,4092.94,4358.73,11900.8,49.0548,2274.53,2923.62,4131.83,1663.96,782.769,963.593,352.858,1658.69,534.786,327.017,949.884,1030.8,33.5713,405.998,1007.75,"pencil"
device7-18.gif,147076,1594.87,29.4708,590.622,36770,74632.9,1247.86,20.7285,1209.23,14407.1,14857.8,522.472,33.8079,1925.08,8059.97,9079.89,438.117,22.2094,1021.44,4246.4,6428.35,670.294,32.794,1242.89,3688.37,"device7"
spring-11.gif,45315.4,2018.53,6661.84,3214.42,630.75,6104.89,4281.6,86.4147,4190.67,371.591,140.188,169.124,832.076,1336.47,2599.21,1682.39,546.867,941.561,185.282,167.996,1410.38,559.215,499.209,67.1434,585.926,"spring"
beetle-14.gif,42409.2,4383.62,3718.83,2829.11,3139.63,2257,14648.5,9541.42,2831.85,40.4772,2555.72,589.198,2181.16,726.48,526.298,1967.53,1393.66,61.8263,446.869,1315.94,163.127,486.722,523.879,141.856,833.893,"beetle"
Misk-16.gif,42777.1,1535.43,3001.17,331.737,6157.15,16540.7,941.213,999.479,8978.53,3472.7,11121.4,4659.91,2485.03,5045.48,3637.69,2929.6,1755.12,2288.31,3263.98,340.755,1555.17,1590.18,2619.41,104.191,513.242,"Misk"
frog-14.gif,107154,19505.8,95.8787,17677,6072.39,25707.7,6340.82,18838,8998.07,14489.2,2354.58,5777.7,11166.3,1497.28,96.3334,2210.35,10300.6,55.8671,4225.9,3023.64,3651.75,211.609,1670.68,3736.63,1694.95,"frog"
face-18.gif,26399.2,4246.39,5556.3,143.392,727.792,11578.2,2321.88,2241.44,1512.29,555.524,3406.59,1889.96,1356,3139.11,4281.24,1462.31,414.136,859.725,1590.63,1665.01,971.85,471.113,324.458,1019.3,686.626,"face"
lizzard-18.gif,242899,11026.2,20372.3,20912.6,22471.9,46097.9,68274.3,28794.6,376.178,35065.1,2116.1,6771.44,22681.1,7506.38,2236.2,6033.78,12571.3,3382.19,5709.25,525.227,1547.4,991.327,801.096,66.5029,1331.85,"lizzard"
device2-20.gif,182444,4076.36,20.5841,828.133,22908.5,66880.5,2952.9,132.916,5691.62,7530.94,9807.9,1491.97,254.024,4907.3,6770.29,6702.8,2555.48,43.9756,1792.86,3270.08,3090.66,2530.38,222.497,2219.75,3471.05,"device2"
Heart-12.gif,68533.2,6881.95,7412.21,29879.2,9027.83,5459.13,23150.5,4321.92,1413.44,14538.8,4851.49,3750.45,8556.95,1131.41,645.558,286.36,8927.58,1151.55,1548.94,3694.09,3044.6,414.585,2752.41,514.614,2651.43,"Heart"
beetle-17.gif,74945.5,1864.82,1702.06,262.144,12107.6,13767.6,947.83,1965.21,2210.31,5277.47,3647.06,1183.97,2573.76,648.967,2444.52,1667.23,17.927,704.13,481.495,470.83,1142.93,528.872,477.814,410.039,632.285,"beetle"
key-14.gif,84368.3,26332.3,10615.4,783.706,3102.41,20573.3,15856.9,6666.27,16848.8,2990.9,5725.9,6714.51,1577.74,1244.69,2351.96,2551.75,439.256,244.149,791.818,898.733,1359.86,1188.95,424.997,1115.77,1909.15,"key"
personal_car-16.gif,63359.2,34143.4,12798.7,20710,128.598,26462.5,23403.7,9562.4,1538.13,3403.88,6909.44,9256.82,5602.5,2725.11,4596.61,1671.46,1839.18,633.678,779.716,2434.86,28.9069,323.197,1687.42,1915.01,60.2255,"personal_car"
classic-12.gif,97983.4,25191.9,15944.7,2516.11,8407.65,6715.43,31874.9,6838.55,11656.3,3589.44,483.807,1932.85,1733.07,899.425,3285.91,1383.61,3500.69,186.336,443.612,2786.15,152.378,35.8008,124.991,1686.89,440.394,"classic"
tree-17.gif,53689.7,1781.82,4902.16,604.702,8044.55,5304.32,3837.92,1194.12,3851.53,1959.67,406.906,1572.76,367.81,87.2361,242.688,1396.41,300.457,181.296,32.3366,667.355,800.799,267.438,56.643,638.086,499.343,"tree"
device7-19.gif,147232,410.747,104.277,612.739,37596.9,73628.7,1543.52,112.308,999.496,18214.1,12536.3,24.7351,57.5607,1771.66,1845.11,4361.42,424.353,75.2406,1062.53,2145.73,3839.65,73.0286,6.84573,1017.95,893.658,"device7"
sea_snake-18.gif,33703.3,12600.1,5775.34,1881.2,378.196,2695.84,1674.06,86.1611,2966.83,172.723,1392.61,2792.93,1594.07,2128.89,2717.02,679.728,48.9863,55.1507,854.248,740.542,207.361,475.251,79.5369,21.9466,491.315,"sea_snake"
crown-15.gif,6321.17,3247.87,1072.92,1212.83,205.881,2135.59,1260.75,140.394,677.6,163.677,390.738,632.499,618.222,234.382,16.4637,222.35,62.5456,0.793369,59.4442,96.4939,71.2668,103.024,49.5036,56.3377,79.63,"crown"
guitar-19.gif,101152,49632.1,9826.67,10888,9626.24,30241.4,33116.7,12028.3,16454.2,13063.9,1183.45,12107.9,3093.12,8136.17,646.795,3458.75,1228.02,29.3062,2261.91,3424.36,4345.58,5281.31,3636.68,2029.28,3867.33,"guitar"
pencil-20.gif,83631.4,39548.5,26913.2,31181.6,5404.38,7144.55,5769.6,6971.59,4911.78,804.741,2120.03,2186.66,1499.26,1864.85,506.258,1012.08,2077.44,1916.03,323.787,422.574,2.12993,909.761,106.442,1032.27,35.0636,"pencil"
elephant-20.gif,30867.2,2078.45,9561.63,1337.47,3197.79,8834.15,6179.43,2861.88,4616.89,63.1141,5805.99,268.964,1229.59,1407.03,269.14,699.745,2364.67,1178.67,445.95,227.175,2405.63,563.734,535.498,137.471,1167.02,"elephant"
octopus-19.gif,55292.5,16725.6,1386.95,5011.22,787.541,1807.53,2272.94,743.637,2722.59,160.783,666.388,168.409,320.05,1011.38,693.208,871.147,174.667,184.576,470.161,619.659,261.297,396.608,82.1423,16.7531,59.9945,"octopus"
ray-14.gif,279875,27868.6,6940.27,4619.68,37752.8,70194.2,17761.2,1550.45,16324.6,694.05,6311.86,1919.79,2921.37,5845.42,7736.59,565.325,9061.96,255.457,260.743,2231.06,553.837,2802.06,932.303,1889.98,194.621,"ray"
device0-12.gif,211342,33713.2,1414.46,11630.3,24459.2,7228.57,19844.7,2952.39,1663.41,14419.2,839.596,3424.96,2444.46,4463.96,3193.13,3869.01,926.345,350.089,13.5529,3547.78,852.152,133.292,669.622,1065.6,1571.91,"device0"
shoe-19.gif,79869.2,38953.7,19443.7,21215.1,4380.94,29083,29844,14225.7,2033.31,5829.15,4541.42,6403.76,4634.62,3945.33,7766.72,104.787,2045.62,596.834,1475.61,1000.36,1462.58,635.16,922.548,2011.36,672.056,"shoe"
camel-18.gif,94638.4,4671.41,7648.55,3736.05,15589,33064.1,8372.55,133.742,2801.31,8958.93,3984.51,1945.48,1495.12,5886.01,138.78,1465.32,582.411,1727.09,1799.41,3336.3,562.054,3112.94,3203.83,2332.08,833.918,"camel"
sea_snake-14.gif,85759.4,17183.3,6515.25,3940.08,10275.7,1569.34,6304.64,8729.28,3357.56,2474.5,2715.74,1361.71,4.73952,2509.27,108.513,1632.43,601.092,1210.3,1555.95,1119,145.601,1955.33,483.38,922.796,361.355,"sea_snake"
device1-15.gif,162019,8420.7,194.062,4386.35,35481.6,62717.2,20793.9,315.861,12689.1,3269.21,3989.35,7172.65,1511.93,5380.47,7914.83,813.108,5339.43,1002.87,446.557,2419.79,829.503,60.8796,813.545,598.313,605.034,"device1"
fish-11.gif,5507.08,4028.42,654.782,2293.17,3071.66,1110.66,634.44,501.054,1233.36,918.999,468.486,547.888,642.007,831.462,1024.77,18.6087,117.685,330.565,424.467,284.071,312.398,299.072,301.889,331.074,387.48,"fish"
hammer-11.gif,58802.8,10124.4,888.061,1434.33,6220.75,5526.23,5380.07,208.688,5840.71,2277.11,1159.29,218.497,967.735,714.937,881.78,1034.81,562.88,277.958,87.8422,303.609,495.686,383.094,228.354,313.778,488.13,"hammer"
hammer-18.gif,58717.6,4751.54,518.083,3075.13,6765.64,10709.6,255.644,1180.45,787.346,4067.06,1489.96,44.6042,818.456,2011.96,208.368,1364.15,217.12,152.086,162.517,281.085,1053.89,326.569,195.96,30.3756,784.791,"hammer"
beetle-16.gif,25716.2,1061.24,1577.85,374.622,7186.99,7813.44,743.035,5041.38,986.688,2413.31,1523.66,2482.86,202.542,511.236,68.3225,130.904,1798.01,211.135,461.187,447.163,32.8495,338.132,116.007,272.471,277.201,"beetle"
bird-19.gif,59843.4,17757.7,1452.73,1560.77,7159.49,6582.95,8268.75,10447,4141.2,1258.67,4942.95,2209.94,1668.3,410.338,69.2922,1041.43,55.1913,889.934,2258.88,497.451,710.716,181.713,113.59,494.918,381.674,"bird"
device8-20.gif,227724,28698.6,13346.4,31352,37605.4,62075.8,13548.6,12951.1,10746.8,9204.38,9124.63,4440.93,2632.43,12912.8,8599.44,4107.2,9511.16,5163.27,4091.88,1710.68,386.407,2398.52,1696.18,273.791,2379.48,"device8"
flatfish-13.gif,24892.1,15843.8,3086.49,15649,13537,9594.57,6321.61,46.18,4029.32,3649.25,464.901,1372.34,2325.11,2842.08,2169.25,51.322,555.448,1239.32,1776.95,1623.29,57.3273,274.26,27.3401,597.085,969.062,"flatfish"
bat-16.gif,171944,81516.1,40618.7,39868.2,19707,31999.4,33838.3,27514.5,6833.72,2316.5,6053.97,907.375,3315.4,2024.54,1681.37,183.854,7592.61,4639.94,4159.47,2378.26,2545.5,6616.95,2856.57,870.309,6367.84,"bat"
turtle-16.gif,21091.1,11700.3,5478.27,11953.8,4734.29,5778.31,3033.54,1144.72,2968.6,1427.05,2407.59,1654.07,376.344,2005.24,2296.99,1175.22,700.222,367.44,670.554,349.018,332.218,477.669,606.037,594.493,595.021,"turtle"
chicken-15.gif,55789.3,1384.84,10449.4,11776.6,808.905,8413.33,10413.9,8521.55,1630.87,1571.31,3265.6,1101.84,2849.6,237.79,5344.81,3261.28,2519,677.131,147.666,395.195,1366.52,1383.49,55.0466,1503.7,392.528,"chicken"
bird-17.gif,60617.4,15984.9,3219.83,720.308,7510.28,8915.86,8648.76,11089.8,2602.69,229.852,5570.62,1117.18,266.998,690.147,1515.3,1993.26,1199.72,2131.61,1417.85,1283.89,1176.96,832.824,573.922,447.193,623.418,"bird"
device4-19.gif,236200,10712.9,15503.1,15203.3,30639.9,58220.1,2920.44,4240.49,9019.5,9296.65,11112,3778.7,5847.84,15823.8,8734.32,1110.02,7524.98,2046.11,248.435,761.451,1111.63,4061.58,428.629,1406.94,398.159,"device4"
stef-18.gif,82702.9,29766,19109.8,10546.5,7410.05,1627.31,523.434,394.451,632.607,1193.36,543.468,168.907,106.439,529.351,887.5,264.72,148.337,91.8147,116.362,287.389,50.2721,255.637,122.941,61.8133,16.7756,"stef"
deer-17.gif,597230,3307.26,20711.2,3876.29,96879.7,135201,10674,28192.7,6121.26,33557.6,20972.6,10841.3,10176.6,16702.8,29602.9,17610.6,4767.69,2974.6,2780.18,7857.59,7579.15,8884.14,2670.95,5344.82,10060.5,"deer"
turtle-15.gif,205026,18102.3,6570.59,2252.6,32391.1,57458.8,31436.8,3778.52,21976.3,14762.4,4684.34,1417.07,7456.07,3515.38,1293.52,2976.73,5182.04,5172.47,3693.59,3637.83,5564.43,3177.77,2888.92,1605.78,1215.36,"turtle"
chopper-14.gif,88033.7,3935.47,8830.43,803.997,12689.1,7962.47,6700.32,715.686,4888.02,1567.77,3039.86,778.449,1275.89,456.598,769.912,1752.11,1276.78,27.772,1104.24,1604.69,941.921,260.145,535.367,265.38,30.2088,"chopper"
fish-14.gif,10421.1,7488.62,1063.75,3943.53,4488.03,3765.02,2453.8,146.652,1058.17,479.408,557.731,829.513,1394.58,2053.83,2184.57,860.739,625.018,604.391,1012.58,1547.62,720.579,100.409,456.508,495.887,41.5335,"fish"
Bone-11.gif,124880,17223.9,7952.55,8832.87,10049.7,409.743,37709.4,8744.24,304.506,2106.4,2058.44,130.43,2651.42,5953.83,3512.12,3264.79,580.527,6123.33,500.806,2157.34,1984,3359.08,1589.82,2059.87,327.968,"Bone"
hat-15.gif,10865.1,7403.39,81.5875,5861.84,6731.32,6729.32,2854.66,1875.58,4002.26,2830.22,1551.75,31.8238,690.084,22.2036,994.913,341.517,169.392,285.196,591.127,687.778,373.703,228.648,111.773,95.6212,154.096,"hat"
device6-14.gif,270510,46764.8,3118.9,12136.3,28494.1,13046.4,20560.5,13252.6,1605.76,23089.9,11980.5,777.631,2808.95,6132.49,6732.52,442.08,1116.74,6.46921,3013.02,414.321,1722.41,1476.09,1395.43,115.092,457.7,"device6"
Comma-14.gif,52369.1,8080.05,12714.2,11347.6,1624.08,23337.3,19616,23090.6,15961,5050.87,6133.06,5164.46,1128.3,11816.3,607.549,2385.32,2009.84,1725.91,1632.41,2916.46,4082.7,930.784,1927.33,2319.07,2943.68,"Comma"
frog-11.gif,37686.2,13737.6,403.862,2558.28,2618.28,4915.82,934.618,5081.46,5191.79,2517.23,3213.47,6364.14,3047.67,1448.31,3039.88,1930.69,883.872,239.143,1633.11,1878.62,572.05,1743.34,241.468,625.957,190.515,"frog"
bottle-16.gif,95386.7,25572.2,9480.32,129.654,1526.2,1900.22,2959.7,3540.54,3075.62,4814.9,1847.41,76.1923,31.7085,1341.65,1452.22,1621.78,50.4326,253.519,550.972,1122.72,438.366,356.263,407.499,97.5266,94.9972,"bottle"
horse-13.gif,21333.4,3362.37,5036.9,192.158,299.145,4760.84,5965.74,716.293,717.532,801.017,635.724,1316.4,319.895,785.127,301.225,137.146,1093.79,15.215,492.909,570.412,482.665,348.289,356.794,252.487,650.955,"horse"
bottle-12.gif,95275.8,26980.5,9307.01,247.594,1161.08,3876.75,4256.83,1599.55,4088.59,2031.62,894.736,240.826,865.472,1094.81,686.988,307.324,827.191,263.605,361.362,80.414,370.498,387.93,478.524,135.975,445.194,"bottle"
chicken-14.gif,7842.43,18.4917,721.716,235.983,1255.6,1713.11,218.678,667.186,655.018,572.444,38.3984,368.576,385.059,147.291,92.7282,137.047,197.988,21.2891,28.8836,63.0307,142.423,172.576,71.5631,46.2858,113.781,"chicken"
rat-20.gif,87747.9,11015.2,7349.85,1026.1,6098.25,1807.84,1127.3,4413.55,1573.74,1725.91,37.2581,165.119,942.734,2934.58,3274.69,187.41,841.189,372.975,1236.76,825.824,471.245,797.707,185.034,1202.88,787.974,"rat"
turtle-19.gif,72374.5,4123.88,2749.18,230.627,12961.2,21276.8,11209.4,4306.72,8218.95,2509.76,832.6,1744.97,416.121,1378.14,1965.03,1144.32,308.413,747.634,2115.91,1484.79,818.266,900.869,799.732,327.752,30.2562,"turtle"
deer-14.gif,57444.2,23776.3,5749.94,3553.27,1852.42,9657.53,8245.56,2420.48,7784.25,2607.59,3511.53,7529.65,360.316,4433.53,121.675,1129.46,2420.16,313.731,1131.4,429.158,274.992,1310.37,1527.02,652.916,1086.15,"deer"
spoon-15.gif,54433.5,823.465,7703.23,967.147,13260.4,11926.7,77.0582,2924.47,1459.25,2901.15,3102.97,329.614,786.546,273.711,2343.01,1954.42,111.988,288.488,78.5841,1363.57,1190.91,59.4424,76.5954,125.71,719.198,"spoon"
spring-12.gif,176662,4576.58,8503.8,9715.27,6234,16843.7,24549.3,18884.9,4885.97,20328,4761.6,6340.57,3628.47,516.278,6665.95,891.683,8215.68,6165.78,3950.85,321.514,1681.31,2298.55,1195.49,309.99,136.062,"spring"
frog-17.gif,18256.2,3537.23,2078.44,4546.65,384.57,2263.82,2556.06,2490.27,1662.61,754.428,584.264,2060.45,1332.68,1348.68,802.273,2049.26,266.353,1115.5,508.421,238.434,7.88228,1201.03,491.008,783.27,254.997,"frog"
